date,min_bid,max_ask,mid,volume
2023-05-18,26345.5,27466.6,27049.31135548695,15023020
2023-05-19,26828.3,27150.2,26946.30703217236,9393737
2023-05-22,26528.0,27099.1,26817.62825450144,9988466
2023-05-23,26058.0,27221.7,26535.876599884094,12909502
2023-05-24,25855.1,26625.8,26289.802392512443,19567250
2023-05-25,26328.8,26937.2,26595.5292007838,15254582
2023-05-26,26539.8,26900.0,26716.36690481081,10376010
2023-05-29,26831.5,27839.8,27175.09901126375,14275918
2023-05-30,26600.0,27352.7,26908.30373557266,11408676
2023-05-31,26490.5,27295.8,27046.03936414912,16154064
2023-06-01,26952.8,27466.1,27170.005647413574,13588022
2023-06-06,25360.1,27123.9,26275.27473569257,30090359
2023-06-09,25337.0,27365.3,26198.265443566623,10575331
2023-06-10,26130.0,27400.0,26639.1246265756,26030289
2023-06-11,25350.0,26527.8,25790.137371908248,11399134
2023-06-12,25609.0,26099.8,25863.09035570693,13405426
2023-06-14,25706.9,26430.6,26003.27462580973,20760509
2023-06-16,24754.1,25745.0,25123.262782904112,19174262
2023-06-18,26153.2,26869.9,26493.57306084712,8246920
2023-06-19,26624.5,28395.0,27293.26672773767,18247882
2023-06-20,29429.6,30511.7,30082.540718103555,30321808
2023-06-21,29810.0,31444.7,30539.074230537,50734092
2023-06-22,30210.4,30808.6,30606.13510414488,25422276
2023-06-26,29900.0,30650.0,30277.023974677995,17859321
2023-06-27,30218.9,30998.8,30569.856256302508,16151554
2023-06-28,29368.3,31292.1,30538.03951058797,15994285
2023-06-29,30141.2,30808.3,30533.42860814733,13387961
2023-07-03,30562.1,31401.1,30878.338111837315,16966628
2023-07-04,30615.3,31320.9,30972.79198379168,14625273
2023-07-05,30176.4,30869.1,30519.544812255383,13618221
2023-07-06,29831.0,31550.0,30537.80202618388,35331242
2023-07-08,30062.3,30442.0,30265.82721697072,5673892
2023-07-10,30282.0,30814.4,30509.018308089075,18283760
2023-07-11,29900.0,31643.4,30903.34209559092,11945058
2023-07-12,30240.9,30395.4,30308.007914150563,15819045
2023-07-13,30057.1,30454.0,30285.555691615948,33973553
2023-07-17,29453.5,30231.3,29913.20492862064,14243198
2023-07-18,29751.1,30187.5,29969.65952367016,15436107
2023-07-19,29520.9,30411.2,29967.98144174413,11555709
2023-07-20,29717.1,30053.2,29850.92588118824,17070122
2023-07-24,29035.5,29366.4,29171.630801866184,16609389
2023-07-25,29084.6,29664.9,29300.856174201323,7050775
2023-07-26,29228.8,29392.8,29308.04614316265,11116641
2023-07-27,28916.7,29444.7,29277.415246780874,7817461
2023-07-31,28910.2,30047.2,29446.090604426787,9602929
2023-08-01,28950.0,29417.0,29175.14121148234,22976944
2023-08-02,28690.0,29312.1,29148.50517112624,23517203
2023-08-03,28964.6,29192.2,29051.610228455225,9009656
2023-08-07,29115.4,30234.4,29545.552967857868,10272246
2023-08-08,29355.1,30128.5,29716.99515449009,18293341
2023-08-09,29216.6,29536.3,29393.362553691404,12948677
